Cell Type,Optimizer,# Hidden Layers,Hidden Layer Size,Avg Loss,last half,last quarter,training time (min),Sample char count w/o spaces,Sample char count w/ spaces,Sample word count,spelling errors,grammer errors,% spelling errors
RNN,Adam,1,100,1.753240228,1.690465808,1.673080087,29.16034323,3744,4892,819,294,18,0.358974359
RNN,Adam,1,200,2.011809826,2.003207445,1.994535089,29.70809545,3864,4892,723,385,17,0.532503458
RNN,Adam,2,100,1.908530951,1.872843742,1.929788589,43.28752349,3769,4881,785,363,18,0.462420382
RNN,Adam,2,200,2.457532644,2.482898951,2.530376434,48.0695039,4062,4912,699,497,25,0.711015737
RNN,ASGD,1,100,1.745750785,1.673216343,1.662270069,43.53848749,3785,4916,826,297,21,0.359564165
RNN,ASGD,1,200,2.252878189,2.204308748,2.192677975,29.15670163,3690,4867,861,437,25,0.507549361
RNN,ASGD,2,100,1.932659745,1.863559127,1.854473233,67.39046284,3546,4848,798,337,25,0.422305764
RNN,ASGD,2,200,3.019652367,2.958157063,2.986661196,45.85227165,3898,4960,852,559,53,0.656103286
GRU,Adam,1,100,1.530559182,1.448298812,1.436920762,27.28355129,3713,4910,874,204,22,0.233409611
GRU,Adam,1,200,1.494479656,1.410894632,1.401998162,41.74430908,3726,4918,882,196,20,0.222222222
GRU,Adam,2,100,1.609544277,1.515975952,1.507607341,44.03519982,3649,4868,837,199,26,0.237753883
GRU,Adam,2,200,1.546415091,1.498690486,1.502236485,63.86019706,3710,4855,833,234,11,0.280912365
GRU,ASGD,1,100,1.552805185,1.468210101,1.456479192,41.32607305,3715,4890,835,227,15,0.271856287
GRU,ASGD,1,200,1.50543344,1.428692102,1.419809341,29.47596732,3080,4642,757,177,21,0.233817701
GRU,ASGD,2,100,1.568219543,1.488219261,1.484442115,66.97560867,3653,4884,869,253,21,0.291139241
GRU,ASGD,2,200,1.537781835,1.493337989,1.489142299,43.40183265,3631,4893,853,214,23,0.25087925
LSTM,Adam,1,100,1.581827402,1.464306235,1.449594259,26.35854196,3807,4918,852,218,21,0.255868545
LSTM,Adam,1,200,1.435655832,1.31748867,1.297823548,28.45023929,3708,4912,853,134,18,0.157092614
LSTM,Adam,2,100,1.533303618,1.403713346,1.384825945,59.83015607,3715,4907,864,179,15,0.207175926
LSTM,Adam,2,200,1.458837509,1.320205331,1.305445194,43.39838411,3698,4895,857,134,11,0.156359393
LSTM,ASGD,1,100,1.554530978,1.43415308,1.417842984,28.50324927,3555,4854,839,162,16,0.193087008
LSTM,ASGD,1,200,1.443372607,1.324596047,1.304677129,27.94611404,3767,4910,844,165,15,0.19549763
LSTM,ASGD,2,100,1.575714469,1.433288097,1.413819551,58.01668688,3772,4912,837,189,14,0.225806452
LSTM,ASGD,2,200,1.447734475,1.305508375,1.286444902,60.51211832,3764,4913,863,127,13,0.147161066
